date,Fever_unscaled,Fever_monthly,isPartial,scale,Fever
2020-04-22,54,41.0,,0.41,22.139999999999997
2020-04-23,54,41.0,,0.41,22.139999999999997
2020-04-24,56,41.0,,0.41,22.959999999999997
2020-04-25,56,41.0,,0.41,22.959999999999997
2020-04-26,50,35.0,False,0.35,17.5
2020-04-27,48,35.0,,0.35,16.799999999999997
2020-04-28,46,35.0,,0.35,16.099999999999998
2020-04-29,50,35.0,,0.35,17.5
2020-04-30,48,35.0,,0.35,16.799999999999997
2020-05-01,83,35.0,,0.35,29.049999999999997
2020-05-02,88,35.0,,0.35,30.799999999999997
2020-05-03,90,33.0,False,0.33,29.700000000000003
2020-05-04,90,33.0,,0.33,29.700000000000003
2020-05-05,86,33.0,,0.33,28.380000000000003
2020-05-06,100,33.0,,0.33,33.0
2020-05-07,90,33.0,,0.33,29.700000000000003
2020-05-08,83,33.0,,0.33,27.39
2020-05-09,89,33.0,,0.33,29.37
2020-05-10,96,31.0,False,0.31,29.759999999999998
2020-05-11,91,31.0,,0.31,28.21
2020-05-12,87,31.0,,0.31,26.97
2020-05-13,94,31.0,,0.31,29.14
2020-05-14,97,31.0,,0.31,30.07
2020-05-15,98,31.0,,0.31,30.38
2020-05-16,100,31.0,,0.31,31.0
2020-05-17,87,32.0,False,0.32,27.84
2020-05-18,84,32.0,,0.32,26.88
2020-05-19,85,32.0,,0.32,27.2
2020-05-20,90,32.0,,0.32,28.8
2020-05-21,88,32.0,,0.32,28.16
2020-05-22,87,32.0,,0.32,27.84
2020-05-23,88,32.0,,0.32,28.16
2020-05-24,90,30.0,False,0.3,27.0
2020-05-25,88,30.0,,0.3,26.4
2020-05-26,86,30.0,,0.3,25.8
2020-05-27,92,30.0,,0.3,27.599999999999998
2020-05-28,77,30.0,,0.3,23.099999999999998
2020-05-29,86,30.0,,0.3,25.8
2020-05-30,81,30.0,,0.3,24.3
2020-05-31,86,27.0,False,0.27,23.220000000000002
2020-06-01,69,27.0,,0.27,18.630000000000003
2020-06-02,71,27.0,,0.27,19.17
2020-06-03,73,27.0,,0.27,19.71
2020-06-04,72,27.0,,0.27,19.44
2020-06-05,65,27.0,,0.27,17.55
2020-06-06,78,27.0,,0.27,21.060000000000002
2020-06-07,86,30.0,False,0.3,25.8
2020-06-08,88,30.0,,0.3,26.4
2020-06-09,72,30.0,,0.3,21.599999999999998
2020-06-10,80,30.0,,0.3,24.0
2020-06-11,72,30.0,,0.3,21.599999999999998
2020-06-12,77,30.0,,0.3,23.099999999999998
2020-06-13,71,30.0,,0.3,21.3
2020-06-14,72,31.0,False,0.31,22.32
2020-06-15,69,31.0,,0.31,21.39
2020-06-16,86,31.0,,0.31,26.66
2020-06-17,77,31.0,,0.31,23.87
2020-06-18,83,31.0,,0.31,25.73
2020-06-19,79,31.0,,0.31,24.49
2020-06-20,82,31.0,,0.31,25.419999999999998
2020-06-21,95,37.0,False,0.37,35.15
2020-06-22,89,37.0,,0.37,32.93
2020-06-23,95,37.0,,0.37,35.15
2020-06-24,93,37.0,,0.37,34.41
2020-06-25,95,37.0,,0.37,35.15
2020-06-26,96,37.0,,0.37,35.519999999999996
2020-06-27,100,37.0,,0.37,37.0
2020-06-28,98,39.0,False,0.39,38.22
2020-06-29,100,39.0,,0.39,39.0
2020-06-30,96,39.0,,0.39,37.44
2020-07-01,99,39.0,,0.39,38.61
2020-07-02,94,39.0,,0.39,36.660000000000004
2020-07-03,96,39.0,,0.39,37.44
2020-07-04,90,39.0,,0.39,35.1
2020-07-05,87,39.0,False,0.39,33.93
2020-07-06,97,39.0,,0.39,37.83
2020-07-07,94,39.0,,0.39,36.660000000000004
2020-07-08,96,39.0,,0.39,37.44
2020-07-09,95,39.0,,0.39,37.050000000000004
2020-07-10,100,39.0,,0.39,39.0
2020-07-11,98,39.0,,0.39,38.22
2020-07-12,98,38.0,False,0.38,37.24
2020-07-13,94,38.0,,0.38,35.72
2020-07-14,93,38.0,,0.38,35.34
2020-07-15,90,38.0,,0.38,34.2
2020-07-16,94,38.0,,0.38,35.72
2020-07-17,84,38.0,,0.38,31.92
2020-07-18,84,38.0,,0.38,31.92
2020-07-19,96,36.0,False,0.36,34.56
2020-07-20,89,36.0,,0.36,32.04
2020-07-21,92,36.0,,0.36,33.12
2020-07-22,82,36.0,,0.36,29.52
2020-07-23,88,36.0,,0.36,31.68
2020-07-24,84,36.0,,0.36,30.24
2020-07-25,77,36.0,,0.36,27.72
2020-07-26,98,36.0,False,0.36,35.28
2020-07-27,78,36.0,,0.36,28.08
2020-07-28,88,36.0,,0.36,31.68
2020-07-29,91,36.0,,0.36,32.76
2020-07-30,84,36.0,,0.36,30.24
2020-07-31,76,36.0,,0.36,27.36
2020-08-01,86,36.0,,0.36,30.959999999999997
2020-08-02,91,31.0,False,0.31,28.21
2020-08-03,90,31.0,,0.31,27.9
2020-08-04,87,31.0,,0.31,26.97
2020-08-05,88,31.0,,0.31,27.28
2020-08-06,100,31.0,,0.31,31.0
2020-08-07,90,31.0,,0.31,27.9
2020-08-08,86,31.0,,0.31,26.66
2020-08-09,85,31.0,False,0.31,26.35
2020-08-10,78,31.0,,0.31,24.18
2020-08-11,73,31.0,,0.31,22.63
2020-08-12,84,31.0,,0.31,26.04
2020-08-13,84,31.0,,0.31,26.04
2020-08-14,86,31.0,,0.31,26.66
2020-08-15,84,31.0,,0.31,26.04
2020-08-16,86,30.0,False,0.3,25.8
2020-08-17,82,30.0,,0.3,24.599999999999998
2020-08-18,79,30.0,,0.3,23.7
2020-08-19,81,30.0,,0.3,24.3
2020-08-20,75,30.0,,0.3,22.5
2020-08-21,85,30.0,,0.3,25.5
2020-08-22,89,30.0,,0.3,26.7
2020-08-23,85,29.0,False,0.29,24.65
2020-08-24,79,29.0,,0.29,22.91
2020-08-25,78,29.0,,0.29,22.619999999999997
2020-08-26,78,29.0,,0.29,22.619999999999997
2020-08-27,77,29.0,,0.29,22.33
2020-08-28,75,29.0,,0.29,21.75
2020-08-29,70,29.0,,0.29,20.299999999999997
2020-08-30,73,30.0,False,0.3,21.9
2020-08-31,76,30.0,,0.3,22.8
2020-09-01,82,30.0,,0.3,24.599999999999998
2020-09-02,84,30.0,,0.3,25.2
2020-09-03,92,30.0,,0.3,27.599999999999998
2020-09-04,92,30.0,,0.3,27.599999999999998
2020-09-05,100,30.0,,0.3,30.0
2020-09-06,90,29.0,False,0.29,26.099999999999998
2020-09-07,86,29.0,,0.29,24.939999999999998
2020-09-08,95,29.0,,0.29,27.549999999999997
2020-09-09,99,29.0,,0.29,28.709999999999997
2020-09-10,81,29.0,,0.29,23.49
2020-09-11,95,29.0,,0.29,27.549999999999997
2020-09-12,88,29.0,,0.29,25.52
2020-09-13,97,28.0,False,0.28,27.160000000000004
2020-09-14,90,28.0,,0.28,25.200000000000003
2020-09-15,89,28.0,,0.28,24.92
2020-09-16,91,28.0,,0.28,25.480000000000004
2020-09-17,99,28.0,,0.28,27.720000000000002
2020-09-18,69,28.0,,0.28,19.32
2020-09-19,82,28.0,,0.28,22.96
2020-09-20,88,29.0,False,0.29,25.52
2020-09-21,99,29.0,,0.29,28.709999999999997
2020-09-22,85,29.0,,0.29,24.65
2020-09-23,90,29.0,,0.29,26.099999999999998
2020-09-24,99,29.0,,0.29,28.709999999999997
2020-09-25,86,29.0,,0.29,24.939999999999998
2020-09-26,91,29.0,,0.29,26.389999999999997
2020-09-27,95,31.0,False,0.31,29.45
2020-09-28,92,31.0,,0.31,28.52
2020-09-29,91,31.0,,0.31,28.21
2020-09-30,86,31.0,,0.31,26.66
2020-10-01,73,31.0,,0.31,22.63
2020-10-02,89,31.0,,0.31,27.59
2020-10-03,87,31.0,,0.31,26.97
2020-10-04,92,32.0,False,0.32,29.44
2020-10-05,84,32.0,,0.32,26.88
2020-10-06,91,32.0,,0.32,29.12
2020-10-07,85,32.0,,0.32,27.2
2020-10-08,89,32.0,,0.32,28.48
2020-10-09,99,32.0,,0.32,31.68
2020-10-10,91,32.0,,0.32,29.12
2020-10-11,87,31.0,False,0.31,26.97
2020-10-12,81,31.0,,0.31,25.11
2020-10-13,75,31.0,,0.31,23.25
2020-10-14,90,31.0,,0.31,27.9
2020-10-15,88,31.0,,0.31,27.28
2020-10-16,69,31.0,,0.31,21.39
2020-10-17,78,31.0,,0.31,24.18
2020-10-18,88,30.0,False,0.3,26.4
2020-10-19,82,30.0,,0.3,24.599999999999998
2020-10-20,95,30.0,,0.3,28.5
2020-10-21,73,30.0,,0.3,21.9
2020-10-22,79,30.0,,0.3,23.7
2020-10-23,91,30.0,,0.3,27.3
2020-10-24,91,30.0,,0.3,27.3
2020-10-25,77,32.0,False,0.32,24.64
2020-10-26,93,32.0,,0.32,29.76
2020-10-27,100,32.0,,0.32,32.0
2020-10-28,84,32.0,,0.32,26.88
2020-10-29,92,32.0,,0.32,29.44
2020-10-30,82,32.0,,0.32,26.240000000000002
2020-10-31,80,32.0,,0.32,25.6
2020-11-01,74,26.0,False,0.26,19.240000000000002
2020-11-02,77,26.0,,0.26,20.02
2020-11-03,89,26.0,,0.26,23.14
2020-11-04,54,26.0,,0.26,14.040000000000001
2020-11-05,61,26.0,,0.26,15.860000000000001
2020-11-06,72,26.0,,0.26,18.72
2020-11-07,78,26.0,,0.26,20.28
2020-11-08,85,33.0,False,0.33,28.05
2020-11-09,85,33.0,,0.33,28.05
2020-11-10,96,33.0,,0.33,31.68
2020-11-11,95,33.0,,0.33,31.35
2020-11-12,91,33.0,,0.33,30.03
2020-11-13,96,33.0,,0.33,31.68
2020-11-14,85,33.0,,0.33,28.05
2020-11-15,95,35.0,False,0.35,33.25
2020-11-16,91,35.0,,0.35,31.849999999999998
2020-11-17,89,35.0,,0.35,31.15
2020-11-18,90,35.0,,0.35,31.499999999999996
2020-11-19,92,35.0,,0.35,32.199999999999996
2020-11-20,89,35.0,,0.35,31.15
2020-11-21,95,35.0,,0.35,33.25
2020-11-22,93,33.0,False,0.33,30.69
2020-11-23,83,33.0,,0.33,27.39
2020-11-24,100,33.0,,0.33,33.0
2020-11-25,100,33.0,,0.33,33.0
2020-11-26,73,33.0,,0.33,24.09
2020-11-27,77,33.0,,0.33,25.41
2020-11-28,82,33.0,,0.33,27.060000000000002
2020-11-29,89,34.0,False,0.34,30.26
2020-11-30,96,34.0,,0.34,32.64
2020-12-01,88,34.0,,0.34,29.92
2020-12-02,85,34.0,,0.34,28.900000000000002
2020-12-03,95,34.0,,0.34,32.300000000000004
2020-12-04,89,34.0,,0.34,30.26
2020-12-05,90,34.0,,0.34,30.6
2020-12-06,100,33.0,False,0.33,33.0
2020-12-07,79,33.0,,0.33,26.07
2020-12-08,92,33.0,,0.33,30.360000000000003
2020-12-09,85,33.0,,0.33,28.05
2020-12-10,94,33.0,,0.33,31.020000000000003
2020-12-11,87,33.0,,0.33,28.71
2020-12-12,85,33.0,,0.33,28.05
2020-12-13,84,33.0,False,0.33,27.720000000000002
2020-12-14,86,33.0,,0.33,28.380000000000003
2020-12-15,89,33.0,,0.33,29.37
2020-12-16,86,33.0,,0.33,28.380000000000003
2020-12-17,93,33.0,,0.33,30.69
2020-12-18,82,33.0,,0.33,27.060000000000002
2020-12-19,85,33.0,,0.33,28.05
2020-12-20,85,33.0,False,0.33,28.05
2020-12-21,86,33.0,,0.33,28.380000000000003
2020-12-22,86,33.0,,0.33,28.380000000000003
2020-12-23,90,33.0,,0.33,29.700000000000003
2020-12-24,88,33.0,,0.33,29.040000000000003
2020-12-25,84,33.0,,0.33,27.720000000000002
2020-12-26,78,33.0,,0.33,25.740000000000002
2020-12-27,96,36.0,False,0.36,34.56
2020-12-28,94,36.0,,0.36,33.839999999999996
2020-12-29,100,36.0,,0.36,36.0
2020-12-30,99,36.0,,0.36,35.64
2020-12-31,90,36.0,,0.36,32.4
2021-01-01,94,36.0,,0.36,33.839999999999996
2021-01-02,90,36.0,,0.36,32.4
2021-01-03,94,34.0,False,0.34,31.96
2021-01-04,100,34.0,,0.34,34.0
2021-01-05,89,34.0,,0.34,30.26
2021-01-06,90,34.0,,0.34,30.6
2021-01-07,95,34.0,,0.34,32.300000000000004
2021-01-08,85,34.0,,0.34,28.900000000000002
2021-01-09,84,34.0,,0.34,28.560000000000002
2021-01-10,85,34.0,False,0.34,28.900000000000002
2021-01-11,92,34.0,,0.34,31.28
2021-01-12,83,34.0,,0.34,28.220000000000002
2021-01-13,83,34.0,,0.34,28.220000000000002
2021-01-14,95,34.0,,0.34,32.300000000000004
2021-01-15,98,34.0,,0.34,33.32
2021-01-16,91,34.0,,0.34,30.94
2021-01-17,83,30.0,False,0.3,24.9
2021-01-18,82,30.0,,0.3,24.599999999999998
2021-01-19,83,30.0,,0.3,24.9
2021-01-20,84,30.0,,0.3,25.2
2021-01-21,80,30.0,,0.3,24.0
2021-01-22,83,30.0,,0.3,24.9
2021-01-23,77,30.0,,0.3,23.099999999999998
2021-01-24,82,31.0,False,0.31,25.419999999999998
2021-01-25,74,31.0,,0.31,22.94
2021-01-26,79,31.0,,0.31,24.49
2021-01-27,79,31.0,,0.31,24.49
2021-01-28,78,31.0,,0.31,24.18
2021-01-29,86,31.0,,0.31,26.66
2021-01-30,85,31.0,,0.31,26.35
2021-01-31,94,29.0,False,0.29,27.259999999999998
2021-02-01,91,29.0,,0.29,26.389999999999997
2021-02-02,84,29.0,,0.29,24.36
2021-02-03,84,29.0,,0.29,24.36
2021-02-04,91,29.0,,0.29,26.389999999999997
2021-02-05,81,29.0,,0.29,23.49
2021-02-06,100,29.0,,0.29,28.999999999999996
2021-02-07,98,30.0,False,0.3,29.4
2021-02-08,78,30.0,,0.3,23.4
2021-02-09,88,30.0,,0.3,26.4
2021-02-10,85,30.0,,0.3,25.5
2021-02-11,78,30.0,,0.3,23.4
2021-02-12,85,30.0,,0.3,25.5
2021-02-13,86,30.0,,0.3,25.8
2021-02-14,80,27.0,False,0.27,21.6
2021-02-15,78,27.0,,0.27,21.060000000000002
2021-02-16,80,27.0,,0.27,21.6
2021-02-17,73,27.0,,0.27,19.71
2021-02-18,72,27.0,,0.27,19.44
2021-02-19,72,27.0,,0.27,19.44
2021-02-20,87,27.0,,0.27,23.490000000000002
2021-02-21,85,28.0,False,0.28,23.8
2021-02-22,79,28.0,,0.28,22.12
2021-02-23,93,28.0,,0.28,26.040000000000003
2021-02-24,91,28.0,,0.28,25.480000000000004
2021-02-25,81,28.0,,0.28,22.680000000000003
2021-02-26,86,28.0,,0.28,24.080000000000002
2021-02-27,84,28.0,,0.28,23.520000000000003
2021-02-28,87,28.0,False,0.28,24.360000000000003
2021-03-01,82,28.0,,0.28,22.96
2021-03-02,79,28.0,,0.28,22.12
2021-03-03,79,28.0,,0.28,22.12
2021-03-04,85,28.0,,0.28,23.8
2021-03-05,89,28.0,,0.28,24.92
2021-03-06,83,28.0,,0.28,23.240000000000002
2021-03-07,79,29.0,False,0.29,22.91
2021-03-08,79,29.0,,0.29,22.91
2021-03-09,80,29.0,,0.29,23.2
2021-03-10,80,29.0,,0.29,23.2
2021-03-11,85,29.0,,0.29,24.65
2021-03-12,78,29.0,,0.29,22.619999999999997
2021-03-13,71,29.0,,0.29,20.59
2021-03-14,89,28.0,False,0.28,24.92
2021-03-15,72,28.0,,0.28,20.160000000000004
2021-03-16,83,28.0,,0.28,23.240000000000002
2021-03-17,83,28.0,,0.28,23.240000000000002
2021-03-18,88,28.0,,0.28,24.64
2021-03-19,89,28.0,,0.28,24.92
2021-03-20,82,28.0,,0.28,22.96
2021-03-21,86,29.0,False,0.29,24.939999999999998
2021-03-22,84,29.0,,0.29,24.36
2021-03-23,87,29.0,,0.29,25.229999999999997
2021-03-24,85,29.0,,0.29,24.65
2021-03-25,92,29.0,,0.29,26.68
2021-03-26,94,29.0,,0.29,27.259999999999998
2021-03-27,100,29.0,,0.29,28.999999999999996
2021-03-28,91,32.0,False,0.32,29.12
2021-03-29,90,32.0,,0.32,28.8
2021-03-30,83,32.0,,0.32,26.560000000000002
2021-03-31,83,32.0,,0.32,26.560000000000002
2021-04-01,84,32.0,,0.32,26.88
2021-04-02,88,32.0,,0.32,28.16
2021-04-03,88,32.0,,0.32,28.16
2021-04-04,87,34.0,False,0.34,29.580000000000002
2021-04-05,76,34.0,,0.34,25.840000000000003
2021-04-06,81,34.0,,0.34,27.540000000000003
2021-04-07,98,34.0,,0.34,33.32
2021-04-08,93,34.0,,0.34,31.62
2021-04-09,88,34.0,,0.34,29.92
2021-04-10,92,34.0,,0.34,31.28
2021-04-11,90,34.0,False,0.34,30.6
2021-04-12,83,34.0,,0.34,28.220000000000002
2021-04-13,98,34.0,,0.34,33.32
2021-04-14,100,34.0,,0.34,34.0
2021-04-15,82,34.0,,0.34,27.880000000000003
2021-04-16,85,34.0,,0.34,28.900000000000002
2021-04-17,94,34.0,,0.34,31.96
2021-04-18,93,33.0,False,0.33,30.69
2021-04-19,86,33.0,,0.33,28.380000000000003
2021-04-20,89,33.0,,0.33,29.37
2021-04-21,89,33.0,,0.33,29.37
2021-04-22,82,33.0,,0.33,27.060000000000002
2021-04-23,86,33.0,,0.33,28.380000000000003
2021-04-24,89,33.0,,0.33,29.37
2021-04-25,90,35.0,False,0.35,31.499999999999996
2021-04-26,91,35.0,,0.35,31.849999999999998
2021-04-27,84,35.0,,0.35,29.4
2021-04-28,99,35.0,,0.35,34.65
2021-04-29,94,35.0,,0.35,32.9
2021-04-30,89,35.0,,0.35,31.15
2021-05-01,87,35.0,,0.35,30.45
2021-05-02,93,32.0,False,0.32,29.76
2021-05-03,84,32.0,,0.32,26.88
2021-05-04,86,32.0,,0.32,27.52
2021-05-05,87,32.0,,0.32,27.84
2021-05-06,91,32.0,,0.32,29.12
2021-05-07,85,32.0,,0.32,27.2
2021-05-08,84,32.0,,0.32,26.88
2021-05-09,79,31.0,False,0.31,24.49
2021-05-10,86,31.0,,0.31,26.66
2021-05-11,81,31.0,,0.31,25.11
2021-05-12,84,31.0,,0.31,26.04
2021-05-13,81,31.0,,0.31,25.11
2021-05-14,87,31.0,,0.31,26.97
2021-05-15,85,31.0,,0.31,26.35
2021-05-16,100,32.0,False,0.32,32.0
2021-05-17,86,32.0,,0.32,27.52
2021-05-18,96,32.0,,0.32,30.72
2021-05-19,80,32.0,,0.32,25.6
2021-05-20,82,32.0,,0.32,26.240000000000002
2021-05-21,76,32.0,,0.32,24.32
2021-05-22,84,32.0,,0.32,26.88
2021-05-23,72,30.0,False,0.3,21.599999999999998
2021-05-24,77,30.0,,0.3,23.099999999999998
2021-05-25,77,30.0,,0.3,23.099999999999998
2021-05-26,84,30.0,,0.3,25.2
2021-05-27,79,30.0,,0.3,23.7
2021-05-28,69,30.0,,0.3,20.7
2021-05-29,87,30.0,,0.3,26.099999999999998
2021-05-30,87,30.0,False,0.3,26.099999999999998
2021-05-31,79,30.0,,0.3,23.7
2021-06-01,98,30.0,,0.3,29.4
2021-06-02,84,30.0,,0.3,25.2
2021-06-03,79,30.0,,0.3,23.7
2021-06-04,85,30.0,,0.3,25.5
2021-06-05,100,30.0,,0.3,30.0
2021-06-06,95,28.0,False,0.28,26.6
2021-06-07,85,28.0,,0.28,23.8
2021-06-08,78,28.0,,0.28,21.840000000000003
2021-06-09,92,28.0,,0.28,25.76
2021-06-10,80,28.0,,0.28,22.400000000000002
2021-06-11,89,28.0,,0.28,24.92
2021-06-12,80,28.0,,0.28,22.400000000000002
2021-06-13,100,29.0,False,0.29,28.999999999999996
2021-06-14,94,29.0,,0.29,27.259999999999998
2021-06-15,88,29.0,,0.29,25.52
2021-06-16,83,29.0,,0.29,24.069999999999997
2021-06-17,83,29.0,,0.29,24.069999999999997
2021-06-18,89,29.0,,0.29,25.81
2021-06-19,75,29.0,,0.29,21.75
2021-06-20,100,28.0,False,0.28,28.000000000000004
2021-06-21,79,28.0,,0.28,22.12
2021-06-22,81,28.0,,0.28,22.680000000000003
2021-06-23,80,28.0,,0.28,22.400000000000002
2021-06-24,88,28.0,,0.28,24.64
2021-06-25,76,28.0,,0.28,21.28
2021-06-26,96,28.0,,0.28,26.880000000000003
2021-06-27,97,31.0,False,0.31,30.07
2021-06-28,83,31.0,,0.31,25.73
2021-06-29,90,31.0,,0.31,27.9
2021-06-30,90,31.0,,0.31,27.9
2021-07-01,77,31.0,,0.31,23.87
2021-07-02,74,31.0,,0.31,22.94
2021-07-03,76,31.0,,0.31,23.56
2021-07-04,74,32.0,False,0.32,23.68
2021-07-05,83,32.0,,0.32,26.560000000000002
2021-07-06,87,32.0,,0.32,27.84
2021-07-07,89,32.0,,0.32,28.48
2021-07-08,74,32.0,,0.32,23.68
2021-07-09,77,32.0,,0.32,24.64
2021-07-10,81,32.0,,0.32,25.92
2021-07-11,78,32.0,False,0.32,24.96
2021-07-12,91,32.0,,0.32,29.12
2021-07-13,75,32.0,,0.32,24.0
2021-07-14,84,32.0,,0.32,26.88
2021-07-15,77,32.0,,0.32,24.64
2021-07-16,79,32.0,,0.32,25.28
2021-07-17,85,32.0,,0.32,27.2
2021-07-18,91,33.0,False,0.33,30.03
2021-07-19,89,33.0,,0.33,29.37
2021-07-20,86,33.0,,0.33,28.380000000000003
2021-07-21,79,33.0,,0.33,26.07
2021-07-22,89,33.0,,0.33,29.37
2021-07-23,86,33.0,,0.33,28.380000000000003
2021-07-24,84,33.0,,0.33,27.720000000000002
2021-07-25,90,36.0,False,0.36,32.4
2021-07-26,84,36.0,,0.36,30.24
2021-07-27,96,36.0,,0.36,34.56
2021-07-28,85,36.0,,0.36,30.599999999999998
2021-07-29,87,36.0,,0.36,31.32
2021-07-30,90,36.0,,0.36,32.4
2021-07-31,100,36.0,,0.36,36.0
2021-08-01,76,36.0,False,0.36,27.36
2021-08-02,82,36.0,,0.36,29.52
2021-08-03,87,36.0,,0.36,31.32
2021-08-04,77,36.0,,0.36,27.72
2021-08-05,79,36.0,,0.36,28.439999999999998
2021-08-06,80,36.0,,0.36,28.799999999999997
2021-08-07,85,36.0,,0.36,30.599999999999998
2021-08-08,85,36.0,False,0.36,30.599999999999998
2021-08-09,83,36.0,,0.36,29.88
2021-08-10,77,36.0,,0.36,27.72
2021-08-11,74,36.0,,0.36,26.64
2021-08-12,79,36.0,,0.36,28.439999999999998
2021-08-13,83,36.0,,0.36,29.88
2021-08-14,81,36.0,,0.36,29.16
2021-08-15,84,37.0,False,0.37,31.08
2021-08-16,81,37.0,,0.37,29.97
2021-08-17,80,37.0,,0.37,29.6
2021-08-18,87,37.0,,0.37,32.19
2021-08-19,92,37.0,,0.37,34.04
2021-08-20,83,37.0,,0.37,30.71
